TeacherID,EventDate,EventType,CenterID,ClassroomID,Position,Notes
T-0068,5/1/2010,Termination,,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0089,5/1/2010,Termination,,CL-HPPS2-01,Assistant Teacher,Staff voluntarily left
T-0106,5/2/2010,Hire,C-HP,CL-HPPS1-01,Lead Teacher,Hire to meet staffing need May 2010
T-0107,5/6/2010,Hire,C-HP,CL-HPPS2-01,Assistant Teacher,Hire to meet staffing need May 2010
T-0073,6/1/2010,Termination,,CL-HPIN-01,Lead Teacher,Staff voluntarily left
T-0102,6/1/2010,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0108,6/29/2010,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need June 2010
T-0075,7/1/2010,Promotion,,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0087,7/1/2010,Termination,,CL-JPPS2-01,Teacher,Staff voluntarily left
T-0103,7/1/2010,Termination,,CL-LCVPS-01,Assistant Teacher,Staff voluntarily left
T-0109,7/11/2010,Hire,C-HP,CL-HPPS2-01,Teacher,Hire to meet staffing need July 2010
T-0110,7/6/2010,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need July 2010
T-0111,7/24/2010,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need July 2010
T-0084,9/1/2010,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0069,11/1/2010,Termination,,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0112,11/13/2010,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need November 2010
T-0001,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0003,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0005,1/1/2011,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0006,1/1/2011,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0007,1/1/2011,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0008,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0009,1/1/2011,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0010,1/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0015,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0017,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0020,1/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0021,1/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0022,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0023,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0024,1/1/2011,Promotion,C-TD,CL-TDPS-01,Teacher,Promotion to Teacher
T-0027,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0028,1/1/2011,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0029,1/1/2011,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0030,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0032,1/1/2011,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0033,1/1/2011,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0034,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0035,1/1/2011,Promotion,C-JP,CL-JPIN-01,Lead Teacher,Promotion to Lead Teacher
T-0036,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0037,1/1/2011,Promotion,C-HP,CL-HPIN-01,Teacher,Promotion to Teacher
T-0038,1/1/2011,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0040,1/1/2011,Promotion,C-HP,CL-HPPS2-01,Teacher,Promotion to Teacher
T-0041,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Teacher,Promotion to Teacher
T-0043,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0044,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0045,1/1/2011,Promotion,C-JP,CL-JPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0047,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0049,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Teacher,Promotion to Teacher
T-0056,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0068,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0069,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0070,1/1/2011,Promotion,C-JP,CL-JPIN-01,Lead Teacher,Promotion to Lead Teacher
T-0071,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0072,1/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0074,1/1/2011,Promotion,C-HP,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0075,1/1/2011,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0076,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0077,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0078,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0079,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0080,1/1/2011,Promotion,C-HP,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0081,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Teacher,Promotion to Teacher
T-0082,1/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0084,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0085,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0086,1/1/2011,Promotion,C-LCV,CL-LCVIN-01,Teacher,Promotion to Teacher
T-0089,1/1/2011,Promotion,C-HP,CL-HPPS2-01,Teacher,Promotion to Teacher
T-0090,1/1/2011,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0017,1/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0042,1/1/2011,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0086,1/1/2011,Termination,C-LCV,CL-LCVIN-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0091,1/1/2011,Termination,C-LCV,CL-LCVIN-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0093,1/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0100,1/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0111,1/1/2011,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0005,2/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0024,2/1/2011,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0029,2/1/2011,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0032,2/1/2011,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0034,2/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0037,2/1/2011,Promotion,C-HP,CL-HPIN-01,Lead Teacher,Promotion to Lead Teacher
T-0038,2/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0040,2/1/2011,Promotion,C-HP,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0041,2/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0048,2/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0069,2/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0072,2/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0081,2/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0031,2/1/2011,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0061,2/1/2011,Termination,C-JP,CL-JPTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0065,2/1/2011,Termination,C-LCV,CL-LCVTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0107,2/1/2011,Termination,C-HP,CL-HPPS2-01,Assistant Teacher,Staff voluntarily left (period of higher turnover)
T-0110,2/1/2011,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0060,3/1/2011,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0087,3/1/2011,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0103,3/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0002,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0008,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0014,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0078,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0079,3/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0081,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0084,3/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0016,4/1/2011,Termination,C-JP,,Site Supervisor,Staff voluntarily left (period of higher turnover)
T-0052,5/1/2011,Termination,C-LCV,CL-LCVTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0057,5/1/2011,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0049,6/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0089,6/1/2011,Promotion,C-HP,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0090,6/1/2011,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0092,6/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0010,6/1/2011,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0028,6/1/2011,Termination,C-HP,CL-HPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0036,6/1/2011,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0082,6/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0094,6/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0050,7/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0019,7/1/2011,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0044,7/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0063,7/1/2011,Termination,C-LCV,CL-LCVTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0066,7/1/2011,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0077,7/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0096,7/1/2011,Termination,C-TD,CL-TDTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0005,8/1/2011,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0071,8/1/2011,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0105,8/1/2011,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0051,9/1/2011,Promotion,C-JP,CL-JPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0021,9/1/2011,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0055,9/1/2011,Termination,C-JP,CL-JPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0085,9/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0092,9/1/2011,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0104,9/1/2011,Termination,C-JP,CL-JPTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0053,10/1/2011,Promotion,C-TD,CL-TDTO-01,Lead Teacher,Promotion to Lead Teacher
T-0095,10/1/2011,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0037,10/1/2011,Termination,C-HP,CL-HPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0097,11/1/2011,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0098,11/1/2011,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0113,11/27/2011,Hire,C-TD,CL-TDIN-01,Teacher,Hire to meet staffing need November 2011
T-0056,12/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0099,12/1/2011,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0112,12/1/2011,Promotion,C-LCV,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0004,12/1/2011,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0034,12/1/2011,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0062,12/1/2011,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0073,12/1/2011,Termination,C-HP,CL-HPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0074,12/1/2011,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0101,1/1/2012,Promotion,C-JP,CL-JPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0102,1/1/2012,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0007,1/1/2012,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0043,1/1/2012,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0075,1/1/2012,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0058,2/1/2012,Promotion,C-JP,CL-JPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0059,2/1/2012,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0060,2/1/2012,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0064,2/1/2012,Termination,C-HP,CL-HPPS2-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0067,2/1/2012,Termination,C-LCV,CL-LCVTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0087,2/1/2012,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0103,3/1/2012,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0058,3/1/2012,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0069,3/1/2012,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0076,3/1/2012,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0080,3/1/2012,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0095,3/1/2012,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0049,4/1/2012,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0050,4/1/2012,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0083,4/1/2012,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0003,5/1/2012,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0020,5/1/2012,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0059,5/1/2012,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0112,5/1/2012,Termination,C-LCV,CL-LCVPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0114,5/14/2012,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need May 2012
T-0024,6/1/2012,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0033,6/1/2012,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0089,6/1/2012,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0103,6/1/2012,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0109,7/1/2012,Promotion,C-HP,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0041,8/1/2012,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0046,8/1/2012,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0051,8/1/2012,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0088,8/1/2012,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0115,8/25/2012,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need August 2012
T-0029,9/1/2012,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0097,11/1/2012,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0116,11/2/2012,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need November 2012
T-0035,12/1/2012,Termination,C-JP,CL-JPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0113,12/1/2012,Termination,,CL-TDIN-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0116,12/1/2012,Termination,,CL-JPPS1-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0117,12/12/2012,Hire,C-JP,CL-JPPS1-01,Assistant Teacher,Hire to meet staffing need December 2012
T-0068,1/1/2013,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0032,2/1/2013,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0018,3/1/2013,Termination,C-HP,CL-HPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0054,3/1/2013,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0108,3/1/2013,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0118,3/25/2013,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need March 2013
T-0038,4/1/2013,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0030,5/1/2013,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0101,5/1/2013,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0119,5/30/2013,Hire,C-JP,CL-JPIN-01,Lead Teacher,Hire to meet staffing need May 2013
T-0060,6/1/2013,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0120,6/13/2013,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need June 2013
T-0040,7/1/2013,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0121,8/9/2013,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need August 2013
T-0122,8/4/2013,Hire,C-JP,CL-JPTO-01,Assistant Teacher,Hire to meet staffing need August 2013
T-0009,9/1/2013,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0099,9/1/2013,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0119,9/1/2013,Termination,,CL-JPIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0123,9/14/2013,Hire,C-TD,CL-TDPS-01,Teacher,Hire to meet staffing need September 2013
T-0047,11/1/2013,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0072,11/1/2013,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0098,11/1/2013,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0124,11/16/2013,Hire,C-LCV,CL-LCVIN-01,Assistant Teacher,Hire to meet staffing need November 2013
T-0022,12/1/2013,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0125,12/28/2013,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need December 2013
T-0117,1/1/2014,Promotion,,CL-JPPS1-01,Teacher,Promotion to Teacher
T-0126,1/4/2014,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need January 2014
T-0039,2/1/2014,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0114,2/1/2014,Termination,,CL-JPPS2-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0127,2/4/2014,Hire,C-JP,CL-JPPS2-01,Lead Teacher,Hire to meet staffing need February 2014
T-0048,4/1/2014,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0128,4/3/2014,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need April 2014
T-0129,5/26/2014,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need May 2014
T-0001,6/1/2014,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0128,6/1/2014,Termination,,CL-JPPS2-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0129,6/1/2014,Termination,,CL-HPTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0130,6/30/2014,Hire,C-JP,CL-JPPS2-01,Assistant Teacher,Hire to meet staffing need June 2014
T-0122,8/1/2014,Promotion,,CL-JPTO-01,Teacher,Promotion to Teacher
T-0109,8/1/2014,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0131,8/23/2014,Hire,C-HP,CL-HPPS2-01,Assistant Teacher,Hire to meet staffing need August 2014
T-0115,9/1/2014,Promotion,,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0006,9/1/2014,Termination,C-HP,CL-HPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0053,9/1/2014,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0132,9/11/2014,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need September 2014
T-0115,10/1/2014,Termination,,CL-JPPS2-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0123,10/1/2014,Termination,,CL-TDPS-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0133,10/27/2014,Hire,C-HP,CL-HPPS1-01,Teacher,Hire to meet staffing need October 2014
T-0134,10/29/2014,Hire,C-TD,CL-TDPS-01,Lead Teacher,Hire to meet staffing need October 2014
T-0025,11/1/2014,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0125,11/1/2014,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0124,12/1/2014,Promotion,,CL-LCVIN-01,Teacher,Promotion to Teacher
T-0015,12/1/2014,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0132,12/1/2014,Termination,,CL-HPTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0135,12/10/2014,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need December 2014
T-0117,1/1/2015,Promotion,,CL-JPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0136,1/17/2015,Hire,C-LCV,CL-LCVPS-01,Lead Teacher,Hire to meet staffing need January 2015
T-0136,2/1/2015,Termination,,CL-LCVPS-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0137,2/26/2015,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need February 2015
T-0138,2/14/2015,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need February 2015
T-0139,2/20/2015,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need February 2015
T-0117,3/1/2015,Termination,,CL-JPPS1-01,Lead Teacher,Staff voluntarily left (period of higher turnover)
T-0120,3/1/2015,Termination,,CL-JPTO-01,Teacher,Staff voluntarily left (period of higher turnover)
T-0140,3/7/2015,Hire,C-JP,CL-JPPS1-01,Assistant Teacher,Hire to meet staffing need March 2015
T-0141,3/7/2015,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need March 2015
T-0142,3/27/2015,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need March 2015
T-0118,4/1/2015,Promotion,,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
